cycle,time,cost,violation,msg_count,msg_size,status
1,0.042695853999999756,4538,0,392,0,RUNNING
2,0.08092046400000008,3512,0,776,384,RUNNING
3,0.11004201999999985,2876,0,1160,768,RUNNING
4,0.1512098169999998,2776,0,1544,1152,RUNNING
5,0.19386297299999988,2776,0,1928,1536,RUNNING
6,0.23736713799999976,2607,0,2312,1920,RUNNING
7,0.2536428989999999,2508,0,2696,2304,RUNNING
8,0.312196911,2291,0,3080,2688,RUNNING
9,0.35859891200000016,2238,0,3464,3072,RUNNING
10,0.3840415369999999,2238,0,3848,3456,RUNNING
11,0.428980331,2238,0,4232,3840,RUNNING
12,0.46000928200000013,2237,0,4616,4224,RUNNING
13,0.5043627910000001,2237,0,5000,4608,RUNNING
14,0.535285708,2237,0,5384,4992,RUNNING
15,0.5833417760000001,2237,0,5768,5376,RUNNING
16,0.6143065910000001,2237,0,6152,5760,RUNNING
17,0.6489386779999999,2237,0,6536,6144,RUNNING
18,0.6895306400000001,2237,0,6920,6528,RUNNING
19,0.730660458,2237,0,7304,6912,RUNNING
20,0.744246757,2237,0,7688,7296,RUNNING
20,0.751339159,2237,0,7688,7296,FINISHED
